size,read-start,read-end,time,block-time
4096,0.000019136,0.000182936,0.000163800,0.000163800
8192,0.000188640,0.000313696,0.000125056,0.000062528
16384,0.000318552,0.000605336,0.000286784,0.000071696
32768,0.000610408,0.000763800,0.000153392,0.000019174
65536,0.000769416,0.000995328,0.000225912,0.000014119
131072,0.001001496,0.001322888,0.000321392,0.000010043
262144,0.001327544,0.001935024,0.000607480,0.000009492
524288,0.001938672,0.003090304,0.001151632,0.000008997
1048576,0.003094432,0.006590064,0.003495632,0.000013655
2097152,0.006594616,0.011134792,0.004540176,0.000008868
4096,0.011139112,0.011227816,0.000088704,0.000088704
8192,0.011233048,0.011311576,0.000078528,0.000039264
16384,0.011315928,0.011426776,0.000110848,0.000027712
32768,0.011431584,0.011699592,0.000268008,0.000033501
65536,0.011702512,0.012102664,0.000400152,0.000025010
131072,0.012107000,0.012420760,0.000313760,0.000009805
262144,0.012424936,0.013012248,0.000587312,0.000009177
524288,0.013015904,0.014160560,0.001144656,0.000008943
1048576,0.014164464,0.016652480,0.002488016,0.000009719
2097152,0.016657120,0.021209312,0.004552192,0.000008891
4096,0.021213128,0.021285968,0.000072840,0.000072840
8192,0.021291184,0.021390880,0.000099696,0.000049848
16384,0.021395776,0.021490032,0.000094256,0.000023564
32768,0.021494440,0.021635016,0.000140576,0.000017572
65536,0.021638544,0.021824288,0.000185744,0.000011609
131072,0.021828696,0.022139560,0.000310864,0.000009714
262144,0.022144184,0.022730424,0.000586240,0.000009160
524288,0.022735032,0.023880048,0.001145016,0.000008945
1048576,0.023883224,0.026299768,0.002416544,0.000009440
2097152,0.026305376,0.030826600,0.004521224,0.000008831
4096,0.030831232,0.030901312,0.000070080,0.000070080
8192,0.030906552,0.031004696,0.000098144,0.000049072
16384,0.031009048,0.031103640,0.000094592,0.000023648
32768,0.031107432,0.031246064,0.000138632,0.000017329
65536,0.031250032,0.031419816,0.000169784,0.000010612
131072,0.031424288,0.031738008,0.000313720,0.000009804
262144,0.031742408,0.032331712,0.000589304,0.000009208
