size,read-start,read-end,time,block-time
4096,0.000020504,0.000351968,0.000331464,0.000331464
8192,0.000357624,0.000623472,0.000265848,0.000132924
16384,0.000629944,0.001173416,0.000543472,0.000135868
32768,0.001178792,0.001572904,0.000394112,0.000049264
65536,0.001577624,0.002223464,0.000645840,0.000040365
131072,0.002228392,0.003353136,0.001124744,0.000035148
262144,0.003357496,0.005525320,0.002167824,0.000033872
524288,0.005529928,0.009741288,0.004211360,0.000032901
1048576,0.009746112,0.019413776,0.009667664,0.000037764
2097152,0.019420184,0.036328360,0.016908176,0.000033024
4096,0.036334688,0.036529016,0.000194328,0.000194328
8192,0.036545768,0.036749936,0.000204168,0.000102084
16384,0.036753656,0.037007600,0.000253944,0.000063486
32768,0.037011528,0.037519656,0.000508128,0.000063516
65536,0.037523120,0.038366936,0.000843816,0.000052738
131072,0.038371136,0.039517912,0.001146776,0.000035837
262144,0.039522008,0.041805704,0.002283696,0.000035683
524288,0.041810376,0.046026224,0.004215848,0.000032936
1048576,0.046030672,0.054475112,0.008444440,0.000032986
2097152,0.054480200,0.071305160,0.016824960,0.000032861
4096,0.071310232,0.071490416,0.000180184,0.000180184
8192,0.071494616,0.071686104,0.000191488,0.000095744
16384,0.071689576,0.071925128,0.000235552,0.000058888
32768,0.071929168,0.072307184,0.000378016,0.000047252
65536,0.072310816,0.072941232,0.000630416,0.000039401
131072,0.072945384,0.074077648,0.001132264,0.000035383
262144,0.074083000,0.076252976,0.002169976,0.000033906
524288,0.076257240,0.080483152,0.004225912,0.000033015
1048576,0.080487320,0.088919552,0.008432232,0.000032938
2097152,0.088924424,0.105609480,0.016685056,0.000032588
4096,0.105615168,0.105781872,0.000166704,0.000166704
8192,0.105786472,0.105976392,0.000189920,0.000094960
16384,0.105981000,0.106245976,0.000264976,0.000066244
32768,0.106249400,0.106623440,0.000374040,0.000046755
65536,0.106627064,0.107240144,0.000613080,0.000038318
131072,0.107244040,0.108074048,0.000830008,0.000025938
262144,0.108077584,0.110242616,0.002165032,0.000033829
524288,0.110246832,0.114566704,0.004319872,0.000033749
1048576,0.114571248,0.122895728,0.008324480,0.000032517
2097152,0.122900168,0.139556456,0.016656288,0.000032532
4096,0.139561768,0.139727528,0.000165760,0.000165760
8192,0.139732552,0.139931720,0.000199168,0.000099584
16384,0.139935792,0.140190192,0.000254400,0.000063600
32768,0.140194496,0.140562160,0.000367664,0.000045958
65536,0.140566040,0.141315680,0.000749640,0.000046852
131072,0.141319712,0.142457744,0.001138032,0.000035564
262144,0.142461688,0.144613856,0.002152168,0.000033628
524288,0.144617256,0.148821648,0.004204392,0.000032847
1048576,0.148826056,0.157229328,0.008403272,0.000032825
2097152,0.157234168,0.173827112,0.016592944,0.000032408
4096,0.173831776,0.174008032,0.000176256,0.000176256
8192,0.174012696,0.174214496,0.000201800,0.000100900
16384,0.174218800,0.174460056,0.000241256,0.000060314
32768,0.174463592,0.174854152,0.000390560,0.000048820
65536,0.174857864,0.175403368,0.000545504,0.000034094
131072,0.175406992,0.176531160,0.001124168,0.000035130
262144,0.176535080,0.178712712,0.002177632,0.000034025
524288,0.178717080,0.183038336,0.004321256,0.000033760
1048576,0.183042752,0.191437424,0.008394672,0.000032792
2097152,0.191442528,0.208064176,0.016621648,0.000032464
4096,0.208068960,0.208194752,0.000125792,0.000125792
8192,0.208198880,0.208380608,0.000181728,0.000090864
16384,0.208384224,0.208627160,0.000242936,0.000060734
32768,0.208630808,0.208907584,0.000276776,0.000034597
65536,0.208911128,0.209514512,0.000603384,0.000037712
131072,0.209517904,0.210649048,0.001131144,0.000035348
262144,0.210652640,0.212897992,0.002245352,0.000035084
524288,0.212902776,0.217114944,0.004212168,0.000032908
1048576,0.217119472,0.225527920,0.008408448,0.000032845
2097152,0.225532544,0.241180856,0.015648312,0.000030563
4096,0.241186176,0.241348328,0.000162152,0.000162152
8192,0.241352936,0.241550216,0.000197280,0.000098640
16384,0.241553808,0.241815656,0.000261848,0.000065462
32768,0.241819080,0.242195008,0.000375928,0.000046991
65536,0.242199816,0.242834016,0.000634200,0.000039638
131072,0.242838056,0.243990752,0.001152696,0.000036022
262144,0.243994264,0.246141112,0.002146848,0.000033545
524288,0.246145368,0.250358880,0.004213512,0.000032918
1048576,0.250363176,0.258815760,0.008452584,0.000033018
2097152,0.258820352,0.275525416,0.016705064,0.000032627
4096,0.275530760,0.275658688,0.000127928,0.000127928
8192,0.275662936,0.275816608,0.000153672,0.000076836
16384,0.275820960,0.276210976,0.000390016,0.000097504
32768,0.276214784,0.276601840,0.000387056,0.000048382
65536,0.276605680,0.277250656,0.000644976,0.000040311
131072,0.277254536,0.278380568,0.001126032,0.000035188
262144,0.278384992,0.280551864,0.002166872,0.000033857
524288,0.280556032,0.284653712,0.004097680,0.000032013
1048576,0.284659016,0.292863664,0.008204648,0.000032049
2097152,0.292868616,0.309354544,0.016485928,0.000032199
4096,0.309359368,0.309484168,0.000124800,0.000124800
8192,0.309489624,0.309643784,0.000154160,0.000077080
16384,0.309647888,0.309904784,0.000256896,0.000064224
32768,0.309908184,0.310271536,0.000363352,0.000045419
65536,0.310275464,0.310931096,0.000655632,0.000040977
131072,0.310934856,0.312079368,0.001144512,0.000035766
262144,0.312083656,0.314263232,0.002179576,0.000034056
524288,0.314267752,0.317887696,0.003619944,0.000028281
1048576,0.317892016,0.326236120,0.008344104,0.000032594
2097152,0.326240872,0.342974656,0.016733784,0.000032683
4096,0.342980040,0.343147056,0.000167016,0.000167016
8192,0.343151416,0.343341504,0.000190088,0.000095044
16384,0.343345160,0.343584304,0.000239144,0.000059786
32768,0.343588048,0.343957992,0.000369944,0.000046243
65536,0.343961480,0.344601864,0.000640384,0.000040024
131072,0.344605320,0.345733664,0.001128344,0.000035261
262144,0.345737456,0.347892808,0.002155352,0.000033677
524288,0.347896544,0.351064872,0.003168328,0.000024753
1048576,0.351068968,0.359370056,0.008301088,0.000032426
2097152,0.359374648,0.375424216,0.016049568,0.000031347
4096,0.375428952,0.375590312,0.000161360,0.000161360
8192,0.375594904,0.375787104,0.000192200,0.000096100
16384,0.375790592,0.376031088,0.000240496,0.000060124
32768,0.376035064,0.376405128,0.000370064,0.000046258
65536,0.376409088,0.377032680,0.000623592,0.000038975
131072,0.377036744,0.378155624,0.001118880,0.000034965
